"","Year","Value","Biological_Comp","Gender"
"134",14,2355651.61,"P.Immune","Men"
"135",15,2177074.6,"P.Immune","Men"
"136",16,2009190.62,"P.Immune","Men"
"137",17,1856739.74,"P.Immune","Men"
"138",18,1723880.02,"P.Immune","Men"
"139",19,1613735.59,"P.Immune","Men"
"140",20,1528059.74,"P.Immune","Men"
"141",21,1467074.52,"P.Immune","Men"
"142",22,1429504.96,"P.Immune","Men"
"143",23,1412790.71,"P.Immune","Men"
"144",24,1413432.54,"P.Immune","Men"
"145",25,1427415.13,"P.Immune","Men"
"146",26,1450640.77,"P.Immune","Men"
"147",27,1479312.04,"P.Immune","Men"
"148",28,1510216.65,"P.Immune","Men"
"149",29,1540890.2,"P.Immune","Men"
"150",30,1569657.3,"P.Immune","Men"
"151",1,986776.79,"P.Immune","Women"
"152",2,1036357.77,"P.Immune","Women"
"153",3,1084962.71,"P.Immune","Women"
"154",4,1131228.51,"P.Immune","Women"
"155",5,1174421.83,"P.Immune","Women"
"156",6,1211060.42,"P.Immune","Women"
"157",7,1236153.97,"P.Immune","Women"
"158",8,1247436.78,"P.Immune","Women"
"159",9,1243857.84,"P.Immune","Women"
"160",10,1225460.52,"P.Immune","Women"
"161",11,1193194.4,"P.Immune","Women"
"162",12,1150104.3,"P.Immune","Women"
"163",13,1100709.39,"P.Immune","Women"
"164",14,1048699.59,"P.Immune","Women"
"165",15,997574.23,"P.Immune","Women"
"166",16,950520.1,"P.Immune","Women"
"167",17,910293.24,"P.Immune","Women"
"168",18,879091.93,"P.Immune","Women"
"169",19,858443.32,"P.Immune","Women"
"170",20,849126.2,"P.Immune","Women"
"171",21,851143.41,"P.Immune","Women"
"172",22,863752.49,"P.Immune","Women"
"173",23,885560.48,"P.Immune","Women"
"174",24,914682.08,"P.Immune","Women"
"175",25,948947.39,"P.Immune","Women"
"176",26,986131.9,"P.Immune","Women"
"177",27,1024173.36,"P.Immune","Women"
"178",28,1061342.45,"P.Immune","Women"
"179",29,1096346,"P.Immune","Women"
"180",30,1128357.35,"P.Immune","Women"
"181",1,0,"CIN1","Men"
"182",2,0,"CIN1","Men"
"183",3,0,"CIN1","Men"
"184",4,0,"CIN1","Men"
"185",5,0,"CIN1","Men"
"186",6,0,"CIN1","Men"
"187",7,0,"CIN1","Men"
"188",8,0,"CIN1","Men"
"189",9,0,"CIN1","Men"
"190",10,0,"CIN1","Men"
"191",11,0,"CIN1","Men"
"192",12,0,"CIN1","Men"
"193",13,0,"CIN1","Men"
"194",14,0,"CIN1","Men"
"195",15,0,"CIN1","Men"
"196",16,0,"CIN1","Men"
"197",17,0,"CIN1","Men"
"198",18,0,"CIN1","Men"
"199",19,0,"CIN1","Men"
"200",20,0,"CIN1","Men"
"201",21,0,"CIN1","Men"
"202",22,0,"CIN1","Men"
"203",23,0,"CIN1","Men"
"204",24,0,"CIN1","Men"
"205",25,0,"CIN1","Men"
"206",26,0,"CIN1","Men"
"207",27,0,"CIN1","Men"
"208",28,0,"CIN1","Men"
"209",29,0,"CIN1","Men"
"210",30,0,"CIN1","Men"
"211",1,509797.62,"CIN1","Women"
"212",2,471885.98,"CIN1","Women"
"213",3,438448.67,"CIN1","Women"
"214",4,410088.54,"CIN1","Women"
"215",5,386961.24,"CIN1","Women"
"216",6,367191.21,"CIN1","Women"
"217",7,348059.15,"CIN1","Women"
"218",8,328621.23,"CIN1","Women"
"219",9,308534.26,"CIN1","Women"
"220",10,287887.69,"CIN1","Women"
"221",11,267003.22,"CIN1","Women"
